Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
DK,Denmark,2003,MF,  35.02,  380.144,9.2,  119.725, 2 482.032,1.9,  154.745,22.6,  579.393,6.0,4.8,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2004,MF,  32.614,  397.923,8.2,  126.99, 2 499.874,1.6,  159.603,20.4,  586.455,5.6,5.1,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2005,MF,  34.833,  404.371,8.6,  104.849, 2 487.674,2.0,  139.682,24.9,  593.484,5.9,4.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2006,MF,  32.85,  427.622,7.7,  80.909, 2 491.52,2.4,  113.759,28.9,  611.429,5.4,3.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2007,MF,  34.178,  434.288,7.9,  76.343, 2 480.059,2.6,  110.521,30.9,  612.836,5.6,3.1,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2008,MF,  34.741,  457.797,7.6,  63.504, 2 489.601,3.0,  98.246,35.4,  632.077,5.5,2.6,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2009,MF,  52.771,  471.371,11.2,  123.824, 2 481.25,2.2,  176.595,29.9,  657.818,8.0,5.0,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,2010,MF,  64.161,  466.39,13.8,  154.271, 2 469.632,2.2,  218.432,29.4,  692.267,9.3,6.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DM,Dominica,1989,MF,  2.0,  10.0,20.0,  1.4,  20.0,2.9,  3.4,58.8,  17.5,11.4,7.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DM,Dominica,1991 b,MF,  1.6,,,  0.92,,,  2.52,63.5,,,,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
DM,Dominica,1997 b,MF,  3.05,  7.517,40.6,  4.59,  25.379,2.2,  7.64,39.9,  12.822,23.8,18.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DM,Dominica,1999,MF,  2.12,  6.1,34.8,  3.09,  27.0,3.0,  5.21,40.7,  10.9,19.4,11.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DM,Dominica,2001 b,MF,  1.22,  4.7,26.0,  1.85,  23.17,3.3,  3.07,39.7,  10.89,11.2,8.0,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
DO,Dominican Republic,1991,MF,  305.64,  898.99,34.0,  241.9, 1 851.53,2.6,  547.54,55.8, 1 483.97,20.6,13.1,NSO,HS,T,Youth: 15-24; Adult: 25+,Remark: Including persons not actively looking for work
DO,Dominican Republic,1992,MF,  365.17, 1 004.6,36.3,  246.62, 1 955.7,2.9,  611.79,59.7, 1 508.38,24.2,12.6,NSO,HS,T,Youth: 15-24; Adult: 25+,Remark: Including persons not actively looking for work
DO,Dominican Republic,1993,MF,  355.25,  984.75,36.1,  244.04,,,  599.29,59.3, 1 533.71,23.2,,NSO,HS,T,Youth: 15-24; Adult: 25+,Remark: Including persons not actively looking for work
DO,Dominican Republic,1994,MF,  252.6,  864.25,29.2,  204.02, 1 950.65,2.8,  456.62,55.3, 1 564.54,16.1,10.5,NSO,HS,T,Youth: 15-24; Adult: 25+,Remark: Including persons not actively looking for work
DO,Dominican Republic,1995,MF,  245.76,  841.61,29.2,  206.29,,,  452.05,54.4, 1 609.94,15.3,,NSO,HS,T,Youth: 15-24; Adult: 25+,Remark: Including persons not actively looking for work
DO,Dominican Republic,1996 b,MF,  235.45,  800.61,29.4,  250.13,,,  485.589,48.5, 1 564.65,15.0,,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
DO,Dominican Republic,1997,MF,  248.74,  871.59,28.5,  233.92,,,  482.66,51.5, 1 586.72,15.7,,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
DO,Dominican Republic,2000,MF,  199.69,  864.84,23.1,  316.83, 2 761.55,2.0,  516.52,38.7, 1 707.68,11.7,11.5,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
DO,Dominican Republic,2001 b,MF,  224.8,,,  327.5,,,  552.3,40.7,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DO,Dominican Republic,2002 b,MF,  146.602,  815.4,18.0,  350.232, 2 786.7,1.4,  496.834,29.5, 1 624.0,9.0,12.6,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,
DO,Dominican Republic,2003 b,MF,  259.3,,,  355.7,,,  615.0,42.2,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DO,Dominican Republic,2004,MF,  301.8,,,  408.8,,,  710.6,42.5,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DO,Dominican Republic,2005,MF,  296.3,,,  409.9,,,  706.2,42.0,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DO,Dominican Republic,2006,MF,  285.8,,,  374.2,,,  660.0,43.3,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
DO,Dominican Republic,2007,MF,  288.7,  952.753,30.3,  361.6, 3 198.693,2.7,  650.3,44.4, 1 815.666,15.9,11.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
EC,Ecuador,1989,MF,  101.8,,,  85.1,,,  187.0,54.4,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,1990 b,MF,  77.57,  573.71,13.5,  68.7, 1 841.26,3.6,  146.27,53.0, 1 292.42,6.0,3.7,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
EC,Ecuador,1991,MF,  122.86,  698.14,17.6,  105.68, 2 027.07,3.4,  228.55,53.8, 1 353.94,9.1,5.2,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
EC,Ecuador,1992 b,MF,  123.6,,,  130.0,,,  254.6,48.5,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,1993,MF,  107.1,,,  121.7,,,  229.0,46.8,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: July
Geographic limitation: Urban areas"
EC,Ecuador,1994 b,MF,  102.53,  689.61,14.9,  97.38, 2 144.48,3.3,  199.92,51.3, 1 407.99,7.3,4.5,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
EC,Ecuador,1995,MF,  110.35,  721.5,15.3,  97.32, 2 317.07,3.6,  207.68,53.1, 1 493.71,7.4,4.2,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources.
Remark: Including persons not actively looking for work"
EC,Ecuador,1996 b,MF,  151.2,  753.8,20.1,  177.8, 2 415.5,2.7,  329.0,46.0, 1 571.8,9.6,7.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,1997,MF,  146.9,  776.4,18.9,  158.0, 2 549.5,3.1,  304.9,48.2, 1 624.0,9.0,6.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,1998,MF,  197.1,  838.5,23.5,  204.2, 2 653.3,3.1,  401.3,49.1, 1 599.2,12.3,7.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,1999 b,MF,  234.2,,,  289.3,,,  523.5,44.7,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2000,MF,  150.5,,,  171.6,,,  322.1,46.7,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2001,MF,  200.4,  997.5,20.1,  227.8, 2 999.9,2.6,  428.2,46.8, 1 718.5,11.7,7.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: July
Geographic limitation: Urban areas"
EC,Ecuador,2002,MF,  142.1,  817.5,17.4,  196.0, 2 909.0,2.6,  338.1,42.0, 1 635.6,8.7,6.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2003,MF,  193.2,  893.9,21.6,  255.3, 3 025.8,2.6,  448.5,43.1, 1 713.9,11.3,8.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2004,MF,  155.8,  851.4,18.3,  198.1, 3 286.6,3.0,  353.9,44.0,,,6.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2005,MF,  134.1,  863.9,15.5,  187.3, 3 290.3,2.7,  321.4,41.7, 1 731.5,7.7,5.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2006,MF,  148.2,  906.9,16.3,  181.1, 3 374.1,3.0,  329.3,45.0, 1 767.0,8.4,5.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Geographic limitation: Urban areas"
EC,Ecuador,2009 b,MF,  194.976, 1 378.957,14.1,  228.826, 5 169.98,3.2,  423.802,46.0, 2 758.072,7.1,4.4,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Fourth quarter
Geographic limitation: Urban areas"
EG,Egypt,1997,MF,  831.3,,,  615.1,,, 1 446.4,57.5,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,1998,MF,  889.9, 3 850.1,23.1,  557.6, 13 780.3,5.7, 1 447.5,61.5, 12 697.0,7.0,4.0,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,1999,MF,  880.3, 4 320.1,20.4,  600.2, 13 910.4,4.7, 1 480.5,59.5, 12 696.0,6.9,4.3,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2000,MF, 1 094.5,,,  603.5,,, 1 698.0,64.5,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2001,MF, 1 074.8, 3 880.1,27.7,  708.2, 15 021.0,5.9, 1 783.0,60.3, 13 755.7,7.8,4.7,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2002,MF, 1 152.7, 4 253.2,27.1,  867.9, 15 624.4,4.9, 2 020.6,57.0, 14 222.4,8.1,5.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2003,MF, 1 476.9,,,  763.8,,, 2 240.7,65.9,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2004,MF, 1 521.1,,,  632.8,,, 2 153.9,70.6,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2005,MF, 1 762.5, 5 171.1,34.1,  687.6, 16 620.5,8.2, 2 450.1,71.9, 14 258.8,12.4,4.1,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2006,MF, 1 632.6, 5 466.0,29.9,  802.0, 17 412.301,6.5, 2 434.6,67.1, 16 189.8,10.1,4.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
EG,Egypt,2007,MF, 1 342.7, 5 415.1,24.8,  792.4, 18 443.9,5.8, 2 135.1,62.9, 16 097.8,8.3,4.3,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,Reference period: Average of May and November
SV,El Salvador,1991,MF,  34.5,  235.0,14.7,  34.6,  704.1,3.0,  69.1,49.9,  497.1,6.9,4.9,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,"Reference period: December
Geographic limitation: Urban areas"
SV,El Salvador,1992 b,MF,  43.794,  465.6,9.4,  34.955, 1 217.5,3.3,  78.749,55.6, 1 073.3,4.1,2.9,LABORSTA,PC,T,Youth: 16-24; Adult: 25+,
SV,El Salvador,1995 b,MF,  77.0,  579.4,13.3,  70.1, 1 471.5,2.8,  147.1,52.3, 1 154.6,6.7,4.8,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,1996,MF,  77.4,  590.1,13.1,  79.9, 1 549.9,2.5,  157.3,49.2, 1 236.1,6.3,5.2,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,1997,MF,  76.0,  570.2,13.3,  92.0, 1 617.7,2.3,  168.0,45.2, 1 220.3,6.2,5.7,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,1998,MF,  79.0,  631.4,12.9,  86.4, 1 685.6,2.5,  170.3,46.4, 1 240.1,6.4,5.1,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,1999,MF,  76.1,  633.5,12.5,  79.4, 1 743.8,2.8,  162.1,46.9, 1 284.3,5.9,4.6,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2000,MF,  75.5,,,  82.1,,,  157.6,47.9,,,,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2001,MF,  67.2,,,  97.3,,,  164.5,40.9,,,,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2002,MF,  62.5,  593.6,11.5,  80.5, 1 911.9,2.7,  155.4,40.2, 1 298.6,4.8,4.2,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2003,MF,  66.6,  645.8,11.4,  98.9, 1 987.4,2.3,  182.9,36.4, 1 325.7,5.0,5.0,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2004,MF,  64.4,  626.6,11.5,  96.1, 2 027.4,2.4,  179.8,35.8, 1 333.2,4.8,4.7,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2005,MF,  78.1,,,  92.7,,,  170.8,45.7,,,,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2006,MF,  68.9,  639.9,12.4,  88.6, 2 140.9,3.0,  181.0,38.1, 1 345.8,5.1,4.1,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
SV,El Salvador,2007,MF,  62.2,  544.0,11.4,  98.25, 1 955.2,2.3,  160.2,38.8,,,5.0,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Reference period: December
EE,Estonia,1993,MF,  11.4,,,  34.9,,,  46.3,24.6,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25-69,"Reference period: Second quarter
Coverage limitation: Excluding conscripts"
EE,Estonia,1994,MF,  12.3,,,  39.1,,,  51.4,23.9,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25-69,"Reference period: Second quarter
Coverage limitation: Excluding conscripts"
EE,Estonia,1995,MF,  13.6,  101.8,13.4,  54.5,  624.9,1.5,  68.1,20.0,  211.5,6.4,8.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25-69,"Reference period: First quarter
Coverage limitation: Excluding conscripts"
EE,Estonia,1996,MF,  14.6,,,  53.8,,,  68.4,21.3,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25-69,"Reference period: Second quarter
Coverage limitation: Excluding conscripts"
EE,Estonia,1997 b,MF,  14.1,  75.7,18.6,  55.7,  597.4,2.0,  69.8,20.2,  170.9,8.3,9.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,1998,MF,  11.6,  77.9,14.9,  52.4,  594.7,1.7,  64.0,18.1,  190.2,6.1,8.8,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,1999,MF,  15.9,  72.0,22.1,  60.0,  583.8,2.1,  75.9,20.9,  194.5,8.2,10.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2000,MF,  16.4,  70.0,23.4,  69.1,  583.9,2.0,  85.5,19.2,  197.6,8.3,11.8,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2001,MF,  16.9,  69.1,24.5,  64.6,  588.5,2.2,  81.5,20.7,  194.3,8.7,11.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2002,MF,  10.6,  61.0,17.4,  50.0,  580.8,2.0,  60.6,17.5,  198.9,5.3,8.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2003,MF,  17.7,  73.1,24.2,  53.0,  586.7,2.7,  70.7,25.0,  201.6,8.8,9.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2004,MF,  17.3,  73.8,23.4,  48.9,  587.6,2.8,  66.2,26.1,  202.7,8.5,8.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2005,MF,  11.2,  70.7,15.8,  41.0,  588.9,2.3,  52.2,21.5,  204.2,5.5,7.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2006,MF,  9.0,  74.7,12.0,  31.6,  612.1,2.3,  40.6,22.2,  207.9,4.3,5.2,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2007,MF,  7.9,  78.8,10.0,  24.1,  608.6,2.5,  32.0,24.7,  205.6,3.8,4.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2008,MF,  10.0,  83.1,12.0,  28.4,  611.8,2.6,  38.4,26.0,  200.8,5.0,4.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2009,MF,  21.3,  77.3,27.6,  73.8,  613.6,2.3,  95.1,22.4,  193.7,11.0,12.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
EE,Estonia,2010,MF,  23.4,  70.9,33.0,  92.6,  615.9,2.2,  116.0,20.2,  185.2,12.6,15.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25-74,
ET,Ethiopia,1991,MF,  146.64, 6 168.1,2.4,  103.91, 12 998.8,3.0,  250.55,58.5, 10 324.5,1.4,0.8,LABORSTA,OE,T,Youth: 15-24; Adult: 25+,Reference period: Year ending in June of the year indicated
ET,Ethiopia,1994 b,MF,  398.6,,,  308.0,,,  706.6,56.4,,,,NSO,PC,T,Youth: 15-24; Adult: 25+,
ET,Ethiopia,1999 b,MF,  946.0,,,  971.8,,, 1 917.8,49.3,,,,NSO,HS,T,Youth: 15-24; Adult: 25+,
ET,Ethiopia,2004 b,MF,  401.3, 1 146.5,35.0,  434.4, 2 466.5,2.0,  835.7,48.0, 2 427.0,16.5,17.6,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,"Reference period: April
Geographic limitation: Urban areas"
ET,Ethiopia,2005 b,MF,  713.5, 9 237.9,7.7,  805.8, 19 014.699,1.8, 1 519.3,47.0, 11 712.8,6.1,4.2,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: March
ET,Ethiopia,2006 b,MF,  353.4, 1 419.8,24.9,  402.3, 3 023.8,1.9,  755.7,46.8, 2 709.4,13.0,13.3,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,"Reference period: July
Geographic limitation: Urban areas"
FO,Faeroe Islands,2005,MF,  0.5,  5.3,9.4,  0.5,  22.8,4.3,  1.0,50.0,,,2.2,LABORSTA,HS,T,Youth: 16-24; Adult: 25-64,Reference period: September
FJ,Fiji,1982,MF,  9.5,  64.7,14.7,  3.7,  141.2,5.6,  13.3,71.4,  129.3,7.3,2.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25-64,
FJ,Fiji,1996 b,MF,  8.768,  66.8,13.1,  8.437,  231.0,3.6,  17.205,51.0,  150.7,5.8,3.7,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,
FI,Finland,1980,MF,  37.0,  420.0,8.8,  77.0, 2 023.0,2.3,  114.0,32.5,  766.0,4.8,3.8,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1981,MF,  41.0,  415.0,9.9,  80.0, 2 059.0,2.5,  121.0,33.9,  758.0,5.4,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1982,MF,  43.0,  407.0,10.6,  92.0, 2 104.0,2.4,  135.0,31.9,  753.0,5.7,4.4,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1983,MF,  45.0,  401.0,11.2,  94.0, 2 128.0,2.5,  139.0,32.4,  748.0,6.0,4.4,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1984,MF,  42.0,  402.0,10.4,  90.0, 2 145.0,2.5,  132.0,31.8,  742.0,5.7,4.2,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1985,MF,  39.0,  401.0,9.7,  92.0, 2 167.0,2.3,  131.0,29.8,  730.0,5.3,4.2,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1986,MF,  40.0,  396.0,10.1,  96.0, 2 175.0,2.3,  136.0,29.4,  715.0,5.6,4.4,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1987,MF,  37.0,  386.0,9.6,  95.0, 2 168.0,2.2,  132.0,28.0,  700.0,5.3,4.4,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1988,MF,  31.0,  368.0,8.4,  84.0, 2 177.0,2.2,  115.0,27.0,  680.0,4.6,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Remark: Excluding full-time students seeking jobs"
FI,Finland,1989 b,MF,  33.0,  404.0,8.2,  50.0, 2 208.0,3.6,  83.0,39.8,  662.0,5.0,2.3,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Average of monthly estimates
Survey limitation: Definition of unemployment revised."
FI,Finland,1990,MF,  35.0,  394.0,8.9,  45.0, 2 213.0,4.4,  80.0,43.8,  650.0,5.4,2.0,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1991,MF,  55.0,  368.0,14.9,  112.0, 2 200.0,2.9,  167.0,32.9,  644.0,8.5,5.1,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1992,MF,  82.0,  335.0,24.5,  211.0, 2 192.0,2.5,  293.0,28.0,  640.0,12.8,9.6,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1993,MF,  97.0,  315.0,30.8,  309.0, 2 191.0,2.2,  406.0,23.9,  634.0,15.3,14.1,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1994,MF,  91.0,  292.0,31.2,  318.0, 2 198.0,2.2,  409.0,22.2,  631.0,14.4,14.5,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1995,MF,  78.0,  289.0,27.0,  305.0, 2 220.0,2.0,  383.0,20.4,  632.0,12.3,13.7,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1996,MF,  73.0,  292.0,25.0,  290.0, 2 230.0,1.9,  363.0,20.1,  634.0,11.5,13.0,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1997,MF,  72.0,  309.0,23.3,  243.0, 2 198.0,2.1,  315.0,22.9,  639.0,11.3,11.1,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1998,MF,  71.0,  322.0,22.0,  218.0, 2 210.0,2.2,  289.0,24.6,  650.0,10.9,9.9,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,1999,MF,  70.0,  345.0,20.3,  191.0, 2 234.0,2.4,  261.0,26.8,  658.0,10.6,8.5,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,2000,MF,  72.0,  355.0,20.3,  182.0, 2 255.0,2.5,  254.0,28.3,  660.0,10.9,8.1,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,2001,MF,  66.0,  352.0,18.8,  172.0, 2 274.0,2.5,  238.0,27.7,  657.0,10.0,7.6,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Average of monthly estimates
FI,Finland,2002 b,MF,  67.0,  344.0,19.5,  169.0, 2 284.0,2.6,  236.0,28.4,  653.0,10.3,7.4,OECD,LFS,T,Youth: 15-24; Adult: 25-74,"Reference period: Continuous survey
Survey limitation: Continuous survey introduced."
FI,Finland,2003,MF,  69.0,  338.0,20.4,  166.0, 2 283.0,2.8,  235.0,29.4,  650.0,10.6,7.3,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Continuous survey
FI,Finland,2004,MF,  65.0,  334.0,19.5,  165.0, 2 284.0,2.7,  230.0,28.3,  651.0,10.0,7.2,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Continuous survey
FI,Finland,2005,MF,  64.0,  339.0,18.9,  157.0, 2 301.0,2.8,  221.0,29.0,  653.0,9.8,6.8,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Continuous survey
FI,Finland,2006,MF,  62.0,  352.0,17.6,  142.0, 2 319.0,2.9,  204.0,30.4,  657.0,9.4,6.1,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Continuous survey
FI,Finland,2007,MF,  57.0,  362.0,15.7,  127.0, 2 333.0,2.9,  184.0,31.0,  658.0,8.7,5.4,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Continuous survey
FI,Finland,2008,MF,  57.0,  363.0,15.7,  115.0, 2 363.0,3.2,  172.0,33.1,  659.0,8.6,4.9,OECD,LFS,T,Youth: 15-24; Adult: 25-74,Reference period: Continuous survey
